unit_mastr_id,plant_name,wind_park_name,operator_mastr_id,operator_name,gross_capacity_kw,net_capacity_kw,operating_status,commissioning_date,state,district,municipality,postal_code,city,lat,lon
SEE983008497297,Solarpark Öhningen,,ABR992846956996,Solarpark Öhningen GmbH ＆ Co. KG,10163.0,8750.000,31,,1402,Konstanz,Öhningen,78337,Öhningen,47.692306,8.874322
SEE942452700063,Freifläche Truchtlaching,,ABR982644551943,EGA Alzgruppe eG,1443.24,1375.000,35,2024-05-15,1403,Traunstein,Seeon-Seebruck,83376,Truchtlaching,47.957810,12.514850
SEE985494739035,Gaisbergsolar,,ABR904377170383,Gaisbergsolar GmbH ＆ Co. KG,10744.5,8800.000,35,2024-03-28,1402,Neckar-Odenwald-Kreis,Hardheim,74736,Hardheim,49.502693,9.500671
SEE991930088025,SE_2024_2916_Illertissen-Jedesheim,,ABR972077936998,Pfister - Schmid Solar GbR,1411.55,1000.000,35,2024-04-05,1403,Neu-Ulm,Illertissen,89257,Illertissen,48.205170,10.092986
SEE983966621482,Solarpark Englberg,,ABR976866844822,Bürgersolarpark Mitterfels GmbH ＆ Co. KG,8734.05,8525.000,35,2024-04-10,1403,Straubing-Bogen,Mitterfels,94360,Mitterfels,48.986845,12.655546
SEE978681318595,Eggebek 3.1a,,ABR971304702405,Sunnic Lighthouse Solar Invest 19 GmbH,5479.65,4600.000,35,2024-03-21,1411,Schleswig-Flensburg,Eggebek,24852,Eggebek,54.615887,9.344689
SEE911081583545,Dorfenergiegenossenschaft Mellen - Auf dem Stücke -,,ABR904302034902,Dorfenergiegenossenschaft Mellen eG,2392.0,2392.000,31,,1409,Märkischer Kreis,Balve,58802,Balve,51.322205,7.901172
SEE972542631533,Neue Energie Markt Flachslanden,,ABR968362157391,Neue Energie Markt Flachslanden UG (hb),12677.64,9000.000,31,,1403,Ansbach,Flachslanden,91604,Flachslanden,49.383711,10.512127
SEE980152016510,Bovenau Osterrade 1.1,,ABR940822748059,Sunnic Lighthouse Solar Invest 7 GmbH,19433.46,11160.000,35,2024-03-21,1411,Rendsburg-Eckernförde,Bovenau,24796,Bovenau,54.361793,9.853376
SEE960700895231,Neue Energie Markt Flachslanden,,ABR968362157391,Neue Energie Markt Flachslanden UG (hb),11938.14,9000.000,31,,1403,Ansbach,Flachslanden,91604,Flachslanden,49.397224,10.541249
SEE994442979454,PV-Anlage Lisberg,,ABR917512887619,Münch resperium GmbH ＆ Co. KG,19999.305,18000.000,35,2024-04-09,1403,Bamberg,Lisberg,96170,Lisberg,49.882153,10.743732
SEE959843387611,Emkendorf Nord 1.1,,ABR911801395298,EP5 Solar Invest 14 GmbH ＆ Co. KG,36766.71,31200.000,35,2024-03-28,1411,Rendsburg-Eckernförde,Emkendorf,24802,Emkendorf,54.257895,9.802885
SEE924800030572,Blinksteige BA 2,,ABR945487897401,SWR Energie . Service . Bau GmbH,3746.01,3300.000,35,2024-03-27,1403,Ansbach,Rothenburg ob der Tauber,91541,Rothenburg,49.366549,10.156220
SEE905733689709,PV Owschlag,,ABR933776283783,Denker ＆ Wulf AG,8000.0,6700.000,31,,1411,Rendsburg-Eckernförde,Owschlag,24811,Owschlag,54.398392,9.645775
SEE999775052034,Solarpark BAB 31 Leer,,ABR991012770046,SWO Energie PV I GmbH,9202.86,8500.000,35,2025-12-10,1408,Leer,Leer (Ostfriesland),26789,Leer,53.269229,7.488351
SEE947847690042,A＆O Lohberg PV GbR,,ABR987007137444,,8119.0,6600.000,31,,1408,Verden,Kirchlinteln,27308,Kirchlinteln,52.871994,9.338420
SEE983428508344,Erzeugungsanlage Dachfläche/Produktionshallen,,ABR939455769142,Inline Rollenoffset Ploch ＆ Strube GmbH,1195.56,770.000,35,2023-03-23,1415,Schmalkalden-Meiningen,Grabfeld,98631,Grabfeld,50.441783,10.470105
SEE936974029320,"PV Bonifatius Hospital Lingen gGmbH - Dachflächen Bonifatius Hospital, Wilhelmsstr. 13, 49808 Lingen",,ABR988402452293,Bonifatius Hospital Lingen gGmbH,1080.76,880.000,35,2024-03-25,1408,Emsland,Lingen (Ems),49808,Lingen,52.525346,7.315954
SEE916433661049,PV Schörghuber,,ABR974455708456,Schörghuber Spezialtüren KG,4479.15,3796.200,35,2024-04-02,1403,Mühldorf a. Inn,Ampfing,84539,Ampfing,48.250928,12.428160
SEE907856809750,"PV Anlage Am Annaberg 1,44 MWp",,ABR979172040353,Würzburger Straße 196-198 Besitzgesellschaft GmbH,1441.25,1400.000,35,2024-06-20,1403,Fürth,Fürth,90766,Fürth,49.484932,10.953895
SEE964049878542,PV Kirchheimbolanden,,ABR930733180857,KMW Solarpark Kirchheimbolanden GmbH ＆ Co. KG,6427.0,5375.000,35,2024-11-28,1410,Donnersbergkreis,Kirchheimbolanden,67292,Kirchheimbolanden,49.661211,8.026135
SEE945475286439,Bovenau Osterrade 1.2,,ABR920975829980,Sunnic Lighthouse Solar Invest 6 GmbH,8420.9,4860.000,35,2024-03-20,1411,Rendsburg-Eckernförde,Bovenau,24796,Bovenau,54.361934,9.839425
SEE963860666116,Photovoltaikanlage Carpenter GmbH,,ABR964760568708,Carpenter GmbH,5313.6,4500.000,35,2024-05-13,1415,Ilm-Kreis,Amt Wachsenburg,99334,Amt Wachsenburg,50.880595,10.923545
SEE934329257015,Bovenau Osterrade 1.3,,ABR942011761689,ENERPARC Solar Invest 243 EU 1.1 GmbH,9945.97,5940.000,35,2024-03-21,1411,Rendsburg-Eckernförde,Bovenau,24796,Bovenau,54.362280,9.833622
SEE933002104431,W＆L PV VI GbR Wietmarschen,,ABR993430779243,W＆L PV VI eGbR,1999.47,1800.000,35,2024-04-17,1408,Grafschaft Bentheim,Wietmarschen,49835,Wietmarschen,52.482859,7.203074
SEE918409178902,SKW Roßleben II - AUS,,ABR946884758159,Solar Construct GmbH,1321.925,1321.925,35,2024-05-01,1415,Kyffhäuserkreis,Roßleben-Wiehe,06571,Roßleben-Wiehe,51.304380,11.454630
SEE911080030972,PVA Biene,,ABR940621137641,Rhein-Sieg-Abfallwirtschaftsgesellschaft mbH,1648.6,1430.000,35,2024-08-21,1409,Rhein-Sieg-Kreis,Sankt Augustin,53757,Sankt Augustin,50.771417,7.233575
SEE954070517435,Veitsbronn Raindorf,,ABR941126794445,SÜDWERK Solar Portfolio 2 GmbH,9497.34,8750.000,35,2024-10-01,1403,Fürth,Veitsbronn,90587,Veitsbronn,49.502740,10.837880
SEE966664708150,Freiflächenanlage_1 Wilhelm Reuss GmbH ＆ Co. KG Winsen,,ABR967707747204,Wilhem Reuss GmbH Co. KG,1549.26,1320.000,35,2024-05-03,1408,Harburg,Winsen (Luhe),21423,Winsen,53.350090,10.205889
SEE901499856416,Hilpoltstein Solar,,ABR961828941541,SÜDWERK Solar Portfolio 3 GmbH,10495.47,9500.000,35,2024-07-17,1403,Roth,Hilpoltstein,91161,Hilpoltstein,49.177068,11.221229
SEE930525704247,HAU2,,ABR918893140812,BavariaSolar Hausen II GmbH ＆ Co. KG,4990.0,4900.000,35,2025-01-28,1403,Kelheim,Hausen,93345,Hausen,48.851373,12.011428
SEE975068908295,PV  2024,,ABR925006465137,,5150.7,4950.000,35,2025-02-21,1402,Konstanz,Mühlingen,78357,Mühlingen,47.913117,9.032892
SEE988136237722,Freiflächen-PV-Anlage-Seißen,,ABR998428468130,Windenergie Kraiß Gesellschaft mbH,6000.0,5000.000,31,,1402,Alb-Donau-Kreis,Blaubeuren,89143,Blaubeuren,48.442043,9.742044
SEE968264547450,PVA Arnstadt,,ABR985773676471,Unternehmensberatungsgesellschaft Dr. Hack mbH,1649.7,1350.000,35,2023-12-31,1415,Ilm-Kreis,Arnstadt,99310,Arnstadt,50.850427,10.934688
SEE962534870668,PVA FF Dingelstedt,,ABR933723088379,Wolff Energiepark GmbH ＆ Co. KG,1444.2,1250.000,31,,1414,Harz,Huy,38838,Dingelstedt,51.979945,10.990720
SEE969172203063,Freifläche Lettgenbrunn,,ABR924410946720,AHS Solar GmbH ＆ Co. KG,2986.2,2495.000,35,2025-04-01,1405,Main-Kinzig-Kreis,Jossgrund,63637,Jossgrund,50.142608,9.406776
SEE929315027673,Freiflächen PV Autobahn,,ABR924960521125,PV ON Gunzenhof GmbH＆Co.KG,3999.0,3500.000,31,,1403,Neumarkt i.d. OPf.,Hohenfels,92366,Hohenfels,49.160339,11.840743
SEE970791078789,Segro Bischofsheim,,ABR939233036749,SELP Fixtures GmbH,1140.0,900.000,35,2024-07-30,1405,Groß-Gerau,Bischofsheim,65474,Bischofsheim,49.981988,8.386446
SEE938999875975,BEBRN03,,ABR934417833909,EE Bürgerenergie Braunsbach GmbH ＆ Co. KG,5317.245,4400.000,35,2024-06-04,1402,Schwäbisch Hall,Braunsbach,74542,Braunsbach,49.255813,9.804692
SEE927885598821,"Poltnitz III Teil 1 13.776,84 kWp",,ABR963150956514,JS Energiepark Groß Godems GmbH ＆ Co. KG,13776.84,13776.840,35,2025-11-06,1407,Ludwigslust-Parchim,Ruhner Berge,19376,Ruhner Berge,53.345538,11.829827
SEE983965732608,Park 2024,,ABR965369606556,,1604.74,1385.000,35,2024-08-01,1411,Dithmarschen,Sankt Michaelisdonn,25693,St. Michaelisdonn,53.996557,9.107026
SEE968956168260,PV Otterzhofen NordOst,,ABR914840906388,Solarkraft Otterzhofen GmbH ＆ Co. KG,3799.0,3300.000,31,,1403,Kelheim,Riedenburg,93339,Riedenburg,49.008523,11.698639
SEE995395186371,PVA Georgental 2 Falkenhagen Solar UW Sieversdorf,,ABR930295409007,Falkenhagen Solar GmbH ＆ Co. KG,24472.0,23450.000,35,2024-12-24,1400,Märkisch-Oderland,Falkenhagen (Mark),15306,Falkenhagen,52.408318,14.296291
SEE976695450164,SE_2024_4081_Illertissen_Ahornweg,,ABR944937057921,Solar V GbR,1999.835,1500.000,35,2024-04-23,1403,Neu-Ulm,Illertissen,89257,Illertissen,48.216883,10.123023
SEE905458763401,PVA Georgental 1 Falkenhagen Solar UW Jacobsdorf,,ABR930295409007,Falkenhagen Solar GmbH ＆ Co. KG,24147.0,22750.000,35,2024-10-31,1400,Märkisch-Oderland,Falkenhagen (Mark),15306,Falkenhagen,52.408091,14.296709
SEE947020849441,Fredenbeck5472,,ABR924556367991,Limes GmbH Deutsches Solarzentrum,5472.27,4620.000,31,,1408,Stade,Fredenbeck,21717,Fredenbeck,53.514150,9.369162
SEE943046483614,VenSol Solarpark Rothtal III GmbH ＆ Co. KG,,ABR914690640753,VenSol Solarpark Rothtal III GmbH ＆ Co. KG,19204.61,16565.000,35,2024-10-16,1403,Neu-Ulm,Unterroth,89299,Unterroth,48.184470,10.171407
SEE907328271900,VenSol Solarpark Rothtal I GmbH ＆ Co. KG,,ABR905289958632,VenSol Solarpark Rothtal I GmbH ＆ Co. KG,6295.14,5600.000,35,2024-10-16,1403,Neu-Ulm,Oberroth,89294,Oberroth,48.177371,10.174780
SEE980975259774,VenSol Solarpark Rothtal II GmbH ＆ Co. KG,,ABR922740242758,VenSol Solarpark Rothtal II GmbH ＆ Co. KG,9435.33,8205.000,35,2024-10-16,1403,Neu-Ulm,Oberroth,89294,Oberroth,48.177371,10.174780
SEE927673128858,Segro Ingolstadt,,ABR924579681449,SEGRO Fixtures GmbH,1470.15,1130.000,35,2025-07-14,1403,Eichstätt,Großmehring,85098,Großmehring,48.782726,11.510282
SEE945995639982,Schweighof II,,ABR923090726356,ABJ Solar GmbH ＆ Co. KG,9998.0,8550.000,35,2024-07-16,1403,Amberg,Amberg,92224,Amberg,49.481250,11.851680
SEE985453768199,HIH - KRI,,ABR991054050366,HIH Green Energy Invest Aufdach GmbH ＆ Co KG,1494.66,1426.890,35,2024-04-12,1405,Main-Taunus-Kreis,Kriftel,65830,Kriftel,50.079972,8.478775
SEE976228919571,PV Freifläche Bergstraßer Weg,,ABR975895452336,Stadtwerke Werl GmbH,2173.82,1606.000,35,2024-04-22,1409,Soest,Werl,59457,Werl,51.564043,7.929930
SEE904106122607,PVA IAA Böhlen_PPA,,ABR984494269474,PV Böhlen GmbH ＆ Co. KG,1948.48,1379.520,35,2023-09-29,1413,Leipzig,Böhlen,04564,Böhlen,51.209303,12.378942
SEE948005890281,24135 SP Barbing III PVA2,,ABR985028010029,EnValue Solarpark 36 GmbH ＆ Co. KG,1862.85,1650.000,35,2024-04-25,1403,Regensburg,Barbing,93092,Barbing,48.996800,12.209450
SEE919777095471,Sonnenwende Busdorf,,ABR914375207509,reon AG,3999.6,3600.000,31,,1411,Schleswig-Flensburg,Busdorf,24866,Busdorf,54.479214,9.551668
SEE935316143991,PV Kunzbauern-Feld,,ABR906427447049,EMA Grünstrom GmbH ＆ Co.KG,4225.0,3861.000,31,,1403,Kelheim,Riedenburg,93339,Riedenburg,48.975403,11.747698
SEE966161159974,Solarpark Schernikau 15 GmbH,,ABR983762908664,Solarpark Schernikau 15 GmbH,7340.0,5400.000,31,,1414,Stendal,Bismark (Altmark),39628,Bismark,52.822438,11.395421
SEE912075400107,Solarpark Münchham 51 GmbH,,ABR968659874277,Solarpark Münchham 51 GmbH,18122.0,14400.000,31,,1403,Rottal-Inn,Ering,94140,Ering,48.333245,13.134735
SEE944840333761,Frankfurt/Oder West 1.1,,ABR932198268156,ENERPARC Solar Invest 243 EU 1.7 GmbH,14000.0,14000.000,31,,1400,Frankfurt (Oder),Frankfurt (Oder),15234,Frankfurt,52.323560,14.468132
SEE922469052218,Elmenhorst,,ABR940590301456,ENERPARC Solar Invest 169 GmbH,13000.0,13000.000,31,,1407,Vorpommern-Rügen,Elmenhorst,18510,Elmenhorst,54.222052,13.082083
SEE995039960190,Weede,,ABR994481451492,ENERPARC Solar Invest 230 TU 25 GmbH ＆ Co. KG,17000.0,17000.000,31,,1411,Segeberg,Weede,23795,Weede,53.920672,10.352286
SEE999210393951,Klein Schönwalde,,ABR989728844076,ENERPARC Solar Invest 192 GmbH,14400.0,14400.000,31,,1407,Vorpommern-Greifswald,Weitenhagen,17498,Weitenhagen,54.066691,13.413963
SEE951306409229,Papendorf,,ABR952694277919,ENERPARC Solar Invest 230 TU 32 GmbH ＆ Co. KG,20000.0,20000.000,31,,1407,Vorpommern-Greifswald,Papendorf,17309,Papendorf,53.485402,13.928431
SEE941644062682,PV-Park Unterwendling,,ABR923885538072,Wagner Energy GmbH Co. KG,5101.98,4800.000,35,2025-11-23,1403,Traunstein,Wonneberg,83379,Wonneberg,47.905761,12.716946
SEE961683767645,Geschendorf,,ABR947523362188,ENERPARC Solar Invest 230 TU 24 GmbH ＆ Co. KG,10000.0,10000.000,31,,1411,Segeberg,Geschendorf,23815,Geschendorf,53.924588,10.436276
SEE970002317720,Unterer Hub EEG,,ABR990968760699,MJ 6. Solarbetriebsgesellschaft,19049.96,17700.000,35,2025-02-21,1403,Deggendorf,Moos,94554,Moos,48.729774,12.967897
SEE934954059640,Brinkum 1,,ABR939517505596,ENERPARC Solar Invest 230 TU 7 GmbH ＆ Co. KG,20000.0,20000.000,31,,1408,Leer,Brinkum,26835,Brinkum,53.257759,7.585701
SEE921838767104,Schülldorf,,ABR927989910574,ENERPARC Solar Invest 230 TU 1 GmbH ＆ Co. KG,15000.0,15000.000,31,,1411,Rendsburg-Eckernförde,Schülldorf,24790,Schülldorf,54.298377,9.760666
SEE976885422582,Solarpark Hirschbach 5 MWp,,ABR924975054830,Greeno Solarprojekt 89 GmbH ＆ Co. KG,4957.48,3900.000,31,,1403,Amberg-Sulzbach,Hirschbach,92275,Hirschbach,49.585132,11.606031
SEE943881209905,"Solarpark Waffenbrunn 3103,65 kWp",,ABR951133395542,Greeno Solarprojekt 46 GmbH,3103.65,2400.000,35,2025-03-20,1403,Cham,Waffenbrunn,93494,Waffenbrunn,49.264542,12.646946
SEE900457834756,Inno PV Hallbergmoos,,ABR910091337148,VSP 29 GmbH ＆ Co. KG,10487.18,9000.000,35,2025-07-17,1403,Freising,Hallbergmoos,85399,Hallbergmoos,48.335355,11.724903
SEE962345003217,Inno PV Brunnthal,,ABR971164213813,Jochen Schweizer Solarpark 2 GmbH ＆. Co. KG,5959.68,5100.000,35,2025-12-29,1403,München,Brunnthal,85649,Brunnthal,48.030502,11.669597
SEE949920855133,Inno PV Gilching,,ABR907673283856,VSP 45 GmbH ＆ Co. KG,2393.0,2200.000,35,2026-01-08,1403,Starnberg,Gilching,82205,Gilching,48.107646,11.341927
SEE943554552192,Maisach West PV Inno,,ABR980626284179,Energiepark Maisach West GmbH ＆ Co. KG,8500.0,8500.000,31,,1403,Fürstenfeldbruck,Maisach,82216,Maisach,48.218198,11.236672
SEE941110183910,Solarpark Hörbach Falteräcker,,ABR935454212412,Solarpark Hörbach UG (haftungsbeschränkt) ＆ Co. KG,4300.0,4300.000,31,,1403,Fürstenfeldbruck,Althegnenberg,82278,Althegnenberg,48.227510,11.084920
SEE965453234535,Solarpark Brandenberger Feld,,ABR930392093666,Solarpark Brandenberger Feld UG (haftungsbeschränkt) ＆ Co. KG,1200.0,1200.000,31,,1403,Fürstenfeldbruck,Türkenfeld,82299,Türkenfeld,48.118600,11.093390
SEE931040531776,PVA Schleife - Volleinspeisung,,ABR914644797977,,1576.585,1088.000,35,2024-04-17,1413,Görlitz,Schleife,02959,Schleife,51.554567,14.543365
SEE924947330641,24118 SP Erharting PVA3,,ABR911834864075,Solarpark Ödmühle eGbR,1142.85,900.000,35,2024-04-29,1403,Mühldorf a. Inn,Erharting,84513,Erharting,48.276080,12.551720
SEE918253629964,24117 SP Ritzing,,ABR982260125863,,2986.5,2275.000,35,2024-04-29,1403,Rottal-Inn,Tann,84367,Tann,48.343888,12.904601
SEE962103202654,24132 SP Kirchberg,,ABR920725161971,,1641.75,1375.000,35,2024-04-29,1403,Altötting,Erlbach,84567,Erlbach,48.308010,12.775310
SEE916862350279,Kutenholz2730,,ABR924556367991,Limes GmbH Deutsches Solarzentrum,2730.0,2310.000,31,,1408,Stade,Kutenholz,27449,Kutenholz,53.496162,9.329787
SEE907383993564,PVA Charlottenhof II,,ABR906681548230,FIMA Invest V UG (haftungsbeschränkt) ＆ Co. KG,2792.68,2310.000,35,2024-04-24,1400,Oberspreewald-Lausitz,Neu-Seeland,03103,Neu-Seeland,51.600010,14.141409
SEE922044470642,Hafenpreppach,,ABR968329531462,Solaranlage Marbach GmbH ＆ Co. KG,17613.86,15400.000,35,2024-04-25,1403,Haßberge,Maroldsweisach,96126,Maroldsweisach,50.190286,10.774658
SEE941563221641,PV-Park Kirrweiler TR02,,ABR994034564488,Windpark Kirrweiler GmbH ＆ Co. KG,3765.56,3500.000,35,2024-02-14,1410,Kusel,Kirrweiler,67744,Kirrweiler,49.647796,7.490427
SEE915872214748,Energiepark Eggesin,,ABR975539904429,Energiepark Ulm GmbH & Co. KG,13070.28,12870.000,31,,1407,Vorpommern-Greifswald,Eggesin,17367,Eggesin,53.665900,14.120511
SEE974984827635,PVA Clausnitz 1-2,,ABR993800958926,Solarprojekt FFM 1 GmbH,1999.53,1650.000,35,2024-04-30,1413,Mittelsachsen,Rechenberg-Bienenmühle,09623,Rechenberg-Bienenmühle,50.756394,13.496964
SEE932219552127,SP Möringen II PVA8,,ABR966756942882,MSE Solarpark Möringen GmbH ＆ Co. KG,7656.72,6600.000,35,2025-11-27,1414,Stendal,Stendal,39576,Stendal,52.581350,11.768280
SEE982162040707,Benno Messingschlager,,ABR944615014864,,2331.5,1698.300,35,2024-01-18,1403,Bamberg,Baunach,96148,Baunach,49.993314,10.852281
SEE969398274731,"Solarpark Seckach III - P20-119 - Teil 8.473,49 kWp - SOL24-2/424",,ABR953504421621,Anumar Solarpark Seckach III GmbH ＆ Co. KG,8473.49,7497.600,35,2026-03-27,1402,Neckar-Odenwald-Kreis,Seckach,74743,Seckach,49.440739,9.314500
SEE993220803400,P22-218 Solarpark Beilngries-Arnbuch,,ABR949747616238,Anumar Solarpark Beilngries-Arnbuch GmbH ＆ Co. KG,7250.0,6235.000,31,,1403,Eichstätt,Beilngries,92339,Beilngries,48.972237,11.544413
SEE974660744447,P22-504 Anumar Solarpark Beilngries-Kirchbuch GmbH ＆ Co. KG,,ABR996212388879,Anumar Solarpark Beilngries-Kirchbuch GmbH ＆ Co. KG,11000.0,9460.000,31,,1403,Eichstätt,Beilngries,92339,Beilngries,48.967836,11.513101
SEE905448153427,P23-567 Solarpark Sparneck,,ABR944820491054,Anumar Solarpark Sparneck GmbH ＆ Co. KG,14500.0,12470.000,31,,1403,Hof,Sparneck,95234,Sparneck,50.156966,11.829858
